class,pc1,pc2
Not,-19.29363392,14.15440203
Not,-16.62118823,11.28198589
Not,-20.09706753,-0.032779692
Not,-18.23799472,2.420363789
Germinated,-20.27251569,4.434277066
Not,-15.58799642,8.885178911
Not,-10.76751779,1.70345254
Germinated,-32.45663568,13.52008376
Not,-22.6979986,14.77903968
Germinated,-28.3614457,8.474524285
Germinated,-27.3920903,3.337280301
Not,-18.2405634,10.62495398
Not,-16.35024487,11.35815677
Germinated,-31.43128744,10.01357799
Germinated,-21.33402229,2.150363959
Not,-14.09449059,-2.231269901
Germinated,-14.00581388,8.212671068
Germinated,-17.12013318,5.439405772
Not,-23.10184261,6.934506531
Germinated,-19.521402,11.23119242
Germinated,-23.34641441,5.893469347
Germinated,-21.1586812,5.155353569
Germinated,-18.07074845,9.584038172
Not,-13.42371576,1.49050278
Not,-15.90418154,11.96029552
Not,-14.07770025,8.719896385
Not,-22.7652229,-4.594764537
Not,-16.36555025,-4.198015379
Not,-17.56697549,10.39537699
Germinated,-35.69777477,12.543799
Germinated,-20.68133697,0.488114399
Germinated,-27.40093583,13.41194318
Not,-14.52652062,-2.022633317
Not,-14.02600788,8.689231037
Germinated,-29.9976294,-2.233639967
Germinated,-36.10640445,1.483392963
Not,-17.86296322,-8.987560696
Germinated,-23.17768268,-0.817599716
Not,-15.69564883,-5.663730316
Germinated,-37.47805368,22.79561349
Germinated,-19.53611727,5.300574746
Germinated,-22.69372459,2.701520292
Germinated,-33.27665,-4.681317723
Germinated,-28.31457042,6.49093011
Not,-13.27448788,5.487703046
Germinated,-30.87593817,16.68092171
Germinated,-16.16734128,5.88439145
Not,-13.48799045,7.440926563
Germinated,-28.56590864,10.20703349
Not,-15.44971085,6.132622557
Not,-23.92275042,-5.03163622
Not,-17.53219594,-3.225461532
Not,-15.90459621,3.849369923
Not,-15.89396788,11.09310188
Germinated,-24.70405929,17.11676685
Germinated,-18.13930565,12.60941797
Germinated,-18.56890298,10.10744645
Not,-15.24662466,7.725145662
Not,-22.53148138,5.077640077
Not,-23.84804105,9.802299641
Not,-21.02325481,0.00660024
Germinated,-31.42076962,8.197445667
Not,-15.09059584,8.282447579
Not,-17.59952672,3.326378755
Not,-19.6098123,13.65367548
Not,-16.69146656,8.44907588
Not,-26.26208586,-3.996730746
Not,-20.44470881,-2.767963818
Germinated,-27.00935691,4.488394386
Not,-18.06069524,8.591539458
Not,-13.93837637,-0.303934765
Germinated,-32.34361359,11.7442438
Not,-23.72505519,13.98128832
Germinated,-30.17022643,6.886968764
Germinated,-31.6867032,-3.242934999
Not,-20.94768612,8.881173873
Not,-19.11687265,11.4139444
Germinated,-39.82162815,12.87128715
Germinated,-25.07147264,2.496918842
Not,-19.86640275,-3.159896898
Germinated,-16.93009241,8.983332556
Germinated,-18.65746978,6.386154591
Not,-28.53290908,1.389549416
Germinated,-26.87966877,8.213120956
Germinated,-26.1601701,-1.567923105
Germinated,-32.70656791,4.562444641
Germinated,-22.04971548,11.86803942
Not,-16.68618064,-0.716635031
Not,-17.53422459,13.0654543
Not,-14.56934619,8.565450623
Not,-30.29627725,-13.0867223
Not,-26.68536814,-5.262915563
Not,-23.86234474,9.751291846
Germinated,-46.21555347,11.02084781
Germinated,-30.85710055,-2.218137281
Germinated,-37.44438891,12.94630384
Not,-19.11380513,-0.909587729
Not,-14.84048626,9.044639822
Germinated,-37.30345977,-10.25269868
Germinated,-42.49411739,-0.596146715
Not,-29.04223456,-13.04158746
Germinated,-30.7436621,-1.354365891
Not,-23.52539853,-8.274810317
Germinated,-46.2312759,24.43174589
Germinated,-39.34127893,4.166707126
Germinated,-24.25368664,6.350797082
Germinated,-33.80653575,-7.918141748
Germinated,-31.95239182,8.922701204
Not,-16.08157734,7.039695638
Germinated,-39.7780171,21.61105899
Germinated,-26.5782373,9.813481923
Not,-15.72262983,10.11911696
Germinated,-34.63321621,12.53440328
Not,-14.4014084,8.670062939
Not,-22.28921739,-3.790669988
Not,-19.16699533,-4.789597512
Not,-15.20115737,-0.053722707
Not,-15.50319556,11.13318776
Germinated,-28.19040621,19.97628922
Germinated,-17.58880293,11.2325101
Germinated,-16.60571928,8.403477278
Not,-15.36248326,8.519343215
Not,-18.15629807,8.43595354
Not,-19.92700858,9.475161577
Not,-18.6758887,-0.03762989
Germinated,-35.49664953,8.177774091
Not,-14.84429048,8.300975837
Not,-18.21578882,0.047283733
Not,-20.17649514,14.08634852
Not,-18.96050693,9.558446595
Not,-20.57650584,0.684957969
Not,-18.48382007,-1.832433895
Germinated,-27.58090129,3.771384711
Not,-18.05192503,7.200007657
Not,-13.81955029,-0.94952648
Germinated,-34.64045932,11.96389858
Not,-24.81606865,15.91227375
Germinated,-34.54472109,7.562850313
Germinated,-25.49409647,-0.978813417
Not,-18.111725,10.08132014
Not,-17.59053574,11.00841128
Germinated,-35.98492025,12.66417859
Germinated,-24.76314484,1.505445243
Not,-22.62416488,-0.887520743
Germinated,-16.25056241,9.12663115
Germinated,-22.20438268,7.732516296
Not,-21.93580382,8.810556099
Germinated,-21.46385952,8.791544162
Germinated,-27.49964576,-0.165983779
Germinated,-33.47356757,5.65249646
Germinated,-20.91773689,11.08975962
Not,-20.22958317,-5.105094442
Not,-17.91828949,12.81728364
Not,-17.1929099,9.644520072
Not,-23.91926674,-4.852600522
Not,-25.17833,-3.10552097
Not,-21.51696066,8.071424386
Germinated,-40.96479282,14.59831411
Germinated,-26.17452332,0.931466569
Germinated,-39.26582087,-0.777017799
Not,-21.66582594,-0.372697741
Not,-15.64085118,6.629191728
Germinated,-32.22259931,-4.46426368
Germinated,-44.00096141,-0.17824069
Not,-38.66339673,-18.60291132
Germinated,-30.23684656,-1.646821871
Not,-25.03040883,-8.32032757
Germinated,-47.30959854,13.38364977
Germinated,-34.94459089,6.614962848
Germinated,-28.8556911,8.598658334
Germinated,-35.4393265,-8.850114031
Germinated,-32.28758987,0.190280111
Not,-13.98698896,6.832573976
Germinated,-41.13548418,19.96252885
Germinated,-21.92798133,2.796236509
Not,-15.54372787,9.742377241
Germinated,-36.99657474,12.00347397
Not,-16.11526745,9.486240377
Not,-19.11418029,-6.482333467
Not,-18.28877384,-6.646586857
Not,-14.31749259,-3.212913381
Not,-12.63877377,8.055768861
Germinated,-28.3185525,18.0342124
Germinated,-15.15869796,8.832047549
Germinated,-13.7775808,5.1294484
Not,-11.97040403,5.197966272
Not,-15.74021186,5.719386352
Not,-15.60669386,6.127937778
Not,-15.86730974,-4.265810691
Germinated,-27.82212414,-2.503925527
Not,-11.24225065,4.346087567
Not,-15.57480579,-4.684970901
Not,-15.40794121,9.009021853
Not,-13.31710633,6.049836195
Not,-17.03979579,-1.928730527
Not,-16.76720278,-5.29291285
Germinated,-20.8808509,-2.904564407
Not,-13.85322755,-3.058705304
Not,-13.59248484,-4.437896437
Germinated,-26.64396857,-1.145309903
Not,-17.82883721,10.09623068
Germinated,-25.9066072,-3.903535894
Germinated,-19.66407553,-7.204704112
Not,-13.30080015,6.205836719
Not,-13.14141152,6.736613201
Germinated,-23.3112721,1.25257406
Germinated,-17.90132369,-5.29767433
Not,-17.77375406,-6.312746796
Germinated,-12.59018157,5.059224776
Germinated,-16.01641801,2.141999901
Not,-17.2608417,4.993654682
Germinated,-14.04886613,0.569135256
Germinated,-21.37337107,-8.648765275
Germinated,-25.98384253,-4.45121647
Germinated,-15.82686142,6.091337933
Not,-20.49193079,-11.57009896
Not,-13.38015322,7.264915062
Not,-12.56901834,5.185835158
Not,-20.65281207,-8.268338673
Not,-20.92548079,-7.743610148
Not,-14.02356214,2.166772571
Germinated,-27.2396897,-0.704292566
Germinated,-15.63883911,0.012193093
Germinated,-31.56062134,-7.55518595
Not,-16.57296688,-5.854752854
Not,-12.53886553,-2.536063787
Germinated,-27.72314085,-13.79232624
Germinated,-33.58168034,-17.58605532
Not,-28.31761961,-22.31726645
Germinated,-18.12383844,-8.258934611
Not,-20.66403107,-14.02079804
Germinated,-39.34502774,-8.232315578
Germinated,-21.96099084,-1.649326835
Germinated,-20.52651678,-0.353857862
Germinated,-33.64789738,-22.90769485
Germinated,-28.92909977,-14.09840584
Not,-11.28434769,3.039270812
Germinated,-29.5519017,3.531891484
Germinated,-14.96978671,-2.622242632
Not,-11.91854076,4.837831751
Germinated,-29.97261105,-0.740436874
Not,-14.91157185,2.985717019
Not,-24.78463207,-9.186317678
Not,-22.05919342,-7.96114061
Not,-17.24292373,-5.635940592
Not,-24.42663977,10.67319196
Germinated,-38.23560262,15.57248695
Germinated,-20.65078975,7.138030429
Germinated,-20.7041268,5.6396791
Not,-15.54111121,4.971523794
Not,-18.7306132,1.170049219
Not,-17.08119708,1.596576379
Not,-18.82667938,-7.34163817
Germinated,-29.17869412,0.945549255
Not,-13.1092812,3.577168474
Not,-17.19348858,-4.106386821
Not,-17.99910684,8.511358134
Not,-17.19210464,4.106111675
Not,-19.04573354,-7.342277373
Not,-18.16921771,-5.349699826
Germinated,-21.64488399,0.489852563
Not,-10.88836445,-3.251556193
Not,-14.9317579,-4.767773904
Germinated,-27.38795402,-0.50702398
Not,-21.60574356,12.17558325
Germinated,-31.59144346,-1.461833469
Germinated,-24.24580868,-10.2139799
Not,-14.12952738,6.370198883
Not,-13.85687433,6.68855291
Germinated,-28.74505004,4.740018203
Germinated,-21.3877237,-1.041189129
Not,-20.02709605,-7.132651867
Germinated,-14.01403078,3.256223492
Germinated,-22.72724578,4.203452129
Not,-20.91556288,-1.928837277
Germinated,-16.63714639,1.272828294
Germinated,-25.74182179,-6.75643304
Germinated,-32.3023219,1.145417778
Germinated,-20.67148313,6.526454781
Not,-22.54181999,-10.56524281
Not,-15.02958286,5.59844734
Not,-14.54740189,4.030517565
Not,-23.73228843,-14.17099659
Not,-21.5399843,-7.646574295
Not,-13.81650026,-2.974186518
Germinated,-30.16157301,4.041566593
Germinated,-21.26048403,-5.085193619
Germinated,-40.07349503,-4.972724229
Not,-17.36971742,-5.69325865
Not,-11.54855108,-3.426762929
Germinated,-26.71192951,-15.52266756
Germinated,-28.72635144,-10.57536912
Not,-28.01532766,-22.12425022
Germinated,-22.9543091,-9.705285421
Not,-22.02276461,-14.1583814
Germinated,-45.87161433,1.408303693
Germinated,-30.58115446,-4.409857498
Germinated,-25.81367678,-1.111878938
Germinated,-32.2464795,-19.69624464
Germinated,-21.7403906,-0.154024562
Not,-10.93371628,-1.441850427
Germinated,-33.11471098,2.320406546
Germinated,-16.49090103,-4.653974392
Not,-13.52371124,2.934876229
Germinated,-36.75204989,-1.989858195
Not,-19.11662165,-3.637610845
Not,-29.78227988,-10.38400146
Not,-28.94829657,-11.29312406
Not,-19.3378528,-4.302673061
Not,-25.87139311,6.487871973
Germinated,-61.95180437,30.36709799
Germinated,-36.66367965,13.15612848
Germinated,-24.70102863,2.456492251
Germinated,-16.30162458,3.554983436
Not,-20.69649342,-0.346785498
Not,-16.78378747,0.873816244
Not,-18.41214378,-5.398725619
Germinated,-36.31200851,2.484574592
Not,-20.13719973,3.234755996
Not,-25.16753459,-5.360308945
Not,-21.17831156,7.464882774
Not,-18.57062459,2.649375506
Not,-24.3566955,-10.34388165
Not,-24.09185014,-6.90057517
Germinated,-25.06288544,-1.299440236
Not,-14.36655752,-4.753059336
Not,-21.63103391,-7.313490628
Germinated,-33.59945585,3.416402793
Not,-28.01046888,13.11912138
Germinated,-38.75473234,0.986089666
